

n: 1000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0894030   00:00:00.0845718   00:00:00.1300435   00:00:00.4528656   9797823
00:00:00.0678820   00:00:00.0868789   00:00:00.1247966   00:00:00.4572532   9797803
00:00:00.0685382   00:00:00.0839515   00:00:00.1377966   00:00:00.4467702   9798085
00:00:00.0735851   00:00:00.0831333   00:00:00.1450104   00:00:00.4698751   9797725



n: 8000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0838437   00:00:00.0576151   00:00:00.0781970   00:00:00.3455927   6399238
00:00:00.0454444   00:00:00.0538940   00:00:00.0800325   00:00:00.3381968   6398789
00:00:00.0471147   00:00:00.0541030   00:00:00.0739489   00:00:00.3342663   6400968
00:00:00.0488629   00:00:00.0612307   00:00:00.0754525   00:00:00.3195941   6397782
00:00:00.0444812   00:00:00.0533049   00:00:00.0727021   00:00:00.3285063   6400662
00:00:00.0487850   00:00:00.0859557   00:00:00.0820651   00:00:00.3259534   6397632
00:00:00.0464392   00:00:00.0543886   00:00:00.0746719   00:00:00.3349810   6399974
00:00:00.0494961   00:00:00.0633198   00:00:00.0767930   00:00:00.3293300   6400083
00:00:00.0521174   00:00:00.0675339   00:00:00.0783408   00:00:00.3353503   6397403
00:00:00.0447791   00:00:00.0555916   00:00:00.0746834   00:00:00.3395534   6398313



n: 8000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.1062161   00:00:00.1190805   00:00:00.1660269   00:00:00.6002066   12803603
00:00:00.0981236   00:00:00.1084640   00:00:00.1793402   00:00:00.5913133   12797848
00:00:00.0908252   00:00:00.1050822   00:00:00.1477359   00:00:00.5812843   12801483
00:00:00.0961115   00:00:00.1083613   00:00:00.1561646   00:00:00.5912932   12797696
00:00:00.0998204   00:00:00.1106830   00:00:00.1977931   00:00:00.5858796   12795038
00:00:00.0900825   00:00:00.1063923   00:00:00.1501972   00:00:00.5894095   12800199
00:00:00.0926160   00:00:00.1276687   00:00:00.1721054   00:00:00.5876949   12799575
00:00:00.1076367   00:00:00.1075332   00:00:00.1984707   00:00:00.5883575   12799045
00:00:00.0931063   00:00:00.1103204   00:00:00.1630122   00:00:00.5906540   12805482
00:00:00.0992807   00:00:00.1187261   00:00:00.1669380   00:00:00.6138524   12800141



n: 9000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0680108   00:00:00.0671396   00:00:00.0979510   00:00:00.4326404   8100334
00:00:00.0590326   00:00:00.0706134   00:00:00.0946613   00:00:00.4155216   8099277
00:00:00.0572923   00:00:00.0694030   00:00:00.0909070   00:00:00.4089750   8100393
00:00:00.0594458   00:00:00.0723292   00:00:00.0983247   00:00:00.4457679   8099188
00:00:00.0854445   00:00:00.0698083   00:00:00.1002479   00:00:00.4105766   8098484
00:00:00.0576206   00:00:00.0685646   00:00:00.0937815   00:00:00.4301290   8097074
00:00:00.0612090   00:00:00.0787592   00:00:00.1138712   00:00:00.4543467   8101577
00:00:00.0691450   00:00:00.0707367   00:00:00.0925746   00:00:00.4508398   8099015
00:00:00.0560652   00:00:00.0684674   00:00:00.0964655   00:00:00.4277950   8097153
00:00:00.0588291   00:00:00.0703578   00:00:00.0955126   00:00:00.4284887   8099491



n: 9000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.1180083   00:00:00.1349264   00:00:00.1816639   00:00:00.7281815   16196647
00:00:00.1167575   00:00:00.1346290   00:00:00.1904580   00:00:00.7349529   16198609
00:00:00.1121507   00:00:00.1416796   00:00:00.2295870   00:00:00.7395380   16198888
00:00:00.1145080   00:00:00.1412372   00:00:00.1893558   00:00:00.7136195   16197515
00:00:00.1124968   00:00:00.1474934   00:00:00.1847071   00:00:00.7262809   16199521
00:00:00.1136397   00:00:00.1407888   00:00:00.1792355   00:00:00.7189074   16196312
00:00:00.1141232   00:00:00.1343619   00:00:00.1881844   00:00:00.7439054   16197897
00:00:00.1165936   00:00:00.1492269   00:00:00.1917526   00:00:00.7387269   16197272
00:00:00.1178467   00:00:00.1368137   00:00:00.2438930   00:00:00.7517296   16200865
00:00:00.1145930   00:00:00.1340605   00:00:00.1868136   00:00:00.7421636   16197779



n: 10000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0699782   00:00:00.0880456   00:00:00.1273215   00:00:00.5113783   9998804
00:00:00.1050490   00:00:00.0875881   00:00:00.1164458   00:00:00.5141359   10001671
00:00:00.0687345   00:00:00.1099214   00:00:00.1202495   00:00:00.5041187   9998490
